county,population,SPC,urban,MidWest,dBenton,southern,Kmart,WalMart,smallstores,dKmart,dWMart,X1,X2,X3,count0,count1,count2,nfirms
292.00,2.43,8.58,0.39,1.00,6.52,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.03,0.03,1,0,0,0
293.00,2.85,8.83,0.51,1.00,6.62,0.00,0.00,1.00,5.00,0.00,0.00,1.00,0.00,0.00,0,1,0,1
294.00,1.78,8.06,0.00,1.00,6.51,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.02,0.04,1,0,0,0
298.00,2.92,9.48,0.73,1.00,6.53,0.00,0.00,1.00,0.00,0.02,0.02,1.00,0.00,0.03,0,1,0,1
299.00,2.99,7.80,0.42,1.00,6.43,0.00,0.00,0.00,0.00,0.05,0.08,0.00,0.00,0.03,1,0,0,0
302.00,2.24,8.69,0.32,1.00,6.24,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
316.00,3.04,7.96,0.36,0.00,6.69,1.00,0.00,1.00,3.00,0.08,0.08,1.00,0.10,0.11,0,1,0,1
318.00,3.20,8.25,0.34,0.00,6.72,1.00,0.00,1.00,2.00,0.17,0.17,1.00,0.03,0.07,0,1,0,1
321.00,2.52,8.31,0.34,0.00,6.50,1.00,0.00,0.00,4.00,0.03,0.03,0.00,0.06,0.10,1,0,0,0
326.00,3.94,8.81,0.32,0.00,6.68,1.00,1.00,1.00,4.00,0.04,0.04,0.00,0.05,0.08,0,0,1,2
327.00,3.21,8.51,0.46,0.00,6.87,1.00,0.00,1.00,3.00,0.16,0.16,1.00,0.00,0.05,0,1,0,1
328.00,2.54,7.56,0.23,0.00,6.68,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.02,0.03,1,0,0,0
331.00,3.80,8.13,0.67,0.00,6.79,1.00,1.00,1.00,3.00,0.14,0.14,0.00,0.00,0.00,0,0,1,2
332.00,2.31,8.17,0.26,0.00,6.56,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
333.00,3.79,7.84,0.35,0.00,6.53,1.00,0.00,1.00,7.00,0.05,0.05,1.00,0.07,0.08,0,1,0,1
334.00,2.59,7.24,0.00,0.00,6.69,1.00,0.00,0.00,3.00,0.04,0.04,0.00,0.06,0.08,1,0,0,0
335.00,2.13,7.86,0.27,0.00,6.91,1.00,0.00,0.00,2.00,0.08,0.08,0.00,0.06,0.09,1,0,0,0
336.00,2.60,7.72,0.33,0.00,6.53,1.00,0.00,0.00,3.00,0.03,0.03,0.00,0.00,0.00,1,0,0,0
337.00,2.52,7.89,0.19,0.00,6.64,1.00,0.00,0.00,2.00,0.03,0.03,0.00,0.08,0.08,1,0,0,0
338.00,3.05,8.15,0.54,0.00,6.86,1.00,0.00,1.00,2.00,0.16,0.16,1.00,0.00,0.05,0,1,0,1
339.00,3.38,8.37,0.63,0.00,6.93,1.00,1.00,1.00,6.00,0.07,0.07,0.00,0.00,0.00,0,0,1,2
343.00,2.91,7.36,0.21,0.00,6.42,1.00,0.00,0.00,3.00,0.07,0.07,0.00,0.05,0.25,1,0,0,0
345.00,3.80,8.57,0.17,0.00,6.47,1.00,1.00,1.00,10.00,0.06,0.06,0.00,0.05,0.10,0,0,1,2
346.00,2.57,7.81,0.00,0.00,6.59,1.00,0.00,0.00,1.00,0.06,0.06,0.00,0.00,0.08,1,0,0,0
347.00,1.83,6.91,0.00,0.00,6.65,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.03,1,0,0,0
351.00,3.44,8.46,0.00,0.00,6.72,1.00,0.00,1.00,6.00,0.08,0.08,1.00,0.00,0.00,0,1,0,1
