P_PEIXE	P_CARNE	P_PORCO	P_FRANGO	Q_PEIXE	Q_CARNE	Q_PORCO	Q_FRANGO	V_PEIXE	V_CARNE	V_PORCO	V_FRANGO
2.9	2.85625			.0288462	.0615385	0	0	.0836538	.1757692	0	.0230769
8.285714				.0067308	0	0	0	.0557692	.0438462	0	0
	7.051125			0	.1410577	0	0	0	.9946154	0	.0811538
5.112	2.973579	3.102222	2.285843	.0961538	2.263654	.0865385	1.919423	.4915385	6.731154	.2684615	4.3875
4.592967	2.998726	4.864414	2.914711	.1596923	2.566538	.2304808	.9463269	.7334615	7.696346	1.121154	2.758269
4.204	2.959518	3.164167	2.718882	.0961538	1.707788	.2307692	1.454288	.4042308	5.054231	.7301923	3.954038
3.059893	2.853985	2.491035	2.855904	.2327885	3.193173	.2788462	1.242231	.7123077	9.113269	.6946154	3.547692
4.650714	3.002285	2.803922	2.359408	.2788654	2.339115	.1961538	2.090404	1.296923	7.022692	.55	4.932115
2.386667	3.245181	4.301485	2.059355	.0288462	1.966288	.3884615	1.416519	.0688462	6.380962	1.670962	2.917115
	2.623333		1.435555	0	.1153846	0	.0865385	0	.3026923	0	.1242308
4.223333	3.077245	2.875862	2.973389	.0576923	2.163462	.1115385	1.248058	.2436538	6.6575	.3207692	3.710962
	2.331429			0	.0673077	0	0	0	.1569231	0	0
4.506066	3.001796	2.460741	2.120855	.1109615	2.784808	.2596154	1.826731	.5	8.359423	.6388461	3.874231
21.296	2.918522	2.95906	3.429221	.0480769	2.578558	.2865385	1.310288	1.023846	7.525577	.8478846	4.493269
8.3375	3.223678	2.99485	2.495536	.0769231	2.649327	.4480769	1.432404	.6413462	8.540577	1.341923	3.574615
3.793313	3.205224	3.848125	3.224081	.2214423	2.945192	.3076923	1.333654	.84	9.44	1.184038	4.299808
3.85305	2.79204	3.036875	2.039991	.0986731	2.704942	.3076923	1.949481	.3801923	7.552308	.9344231	3.976923
5.43084	2.801417	2.957899	2.311246	.1452885	2.621269	.2306731	1.823442	.7890385	7.343269	.6823077	4.214423
3.209671	2.915376	4.042857	2.817927	.0922692	.4656346	.1346154	.3986154	.2961538	1.3575	.5442308	1.123269
6.78	3.283429	11.36667	4.151629	.0192308	.3365385	.0576923	.1428077	.1303846	1.105	.6557692	.5928846
	3.6975		1.471429	0	.0769231	0	.1076923	0	.2844231	0	.1584615
				0	0	0	0	0	0	0	.0394231
	3.3			0	.0192308	0	0	0	.0634615	0	0
	2.72			0	.0961538	0	0	0	.2615385	0	.0786538
	2.8225	3.1		0	.0769231	.0192308	0	0	.2171154	.0596154	.0619231
			1.260786	0	0	0	.2005769	0	0	0	.2528846
	3.506494		1.469767	0	.09625	0	.1240385	0	.3375	0	.1823077
	2.953333			0	.0576923	0	0	0	.1703846	0	.0817308
5.029	3.745423	5.67	2.515866	.1923077	1.417885	.0576923	1.036346	.9671154	5.310577	.3271154	2.607308
2.076807	3.437303	4.406137	2.347974	.1902885	1.802788	.1065385	.9041346	.3951923	6.196731	.4694231	2.122885
3.891597	3.325212	17.69	2.621356	.2288462	1.925962	.0192308	1.104904	.8905769	6.404231	.3401923	2.896346
7.1825	2.830632	5.0175	2.639751	.0769231	2.681923	.0769231	1.390865	.5525	7.591538	.3859615	3.671538
3.497143	4.005654	3.85	3.54378	.0673077	1.496442	.0192308	1.106923	.2353846	5.994231	.0740385	3.922692
9.8175	4.111272	5.04	2.51626	.0769231	1.992692	.0384615	1.800673	.7551923	8.1925	.1938462	4.530962
2.771713	3.04274	2.617273	1.856	.2025962	2.287981	.2115385	2.690442	.5615385	6.961731	.5536539	4.993462
2.626667	3.638184	3.922857	2.18257	.2019231	2.32375	.0673077	1.67375	.5303846	8.454231	.2640385	3.653077
3.739779	3.992187	.495	2.952216	.2963462	2.298962	.0384615	1.501154	1.108269	9.177885	.0190385	4.431731
	3.324625	2.985333	2.10219	0	1.597462	.1442308	1.748635	0	5.310962	.4305769	3.675962
13.06	3.404668	2.479412	2.560016	.1442308	3.035538	.0653846	2.126038	1.883654	10.335	.1621154	5.442692
	24.02			0	.0192308	0	0	0	.4619231	0	.1090385
4.550909	2.718256	4.62991	2.492668	.1057692	1.971923	.1273077	1.717885	.4813462	5.360192	.5894231	4.282115
6.238353	3.452875	3.478571	2.312482	.1775	1.307885	.1346154	1.315769	1.107308	4.515962	.4682692	3.042692
10.58964	3.798183		3.73641	.0241346	.3916346	0	.375	.2555769	1.4875	0	1.401154
5.927473	3.784261	2.87191	1.580676	.0875	.2504808	.1283654	.1990385	.5186539	.9478846	.3686538	.3146154
	1.489691		1.798058	0	.0373077	0	.0495192	0	.0555769	0	.0890385
			6.26	0	0	0	.0384615	0	.1519231	0	.2407692
				0	0	0	0	0	.3173077	0	0
	1.94		1.383333	0	.0769231	0	.0576923	0	.1492308	0	.0798077
				0	0	0	0	0	0	0	.1094231
